time,date,hour,temperature
2026-01-16 00:00:00,2026-01-16,0,6.1
2026-01-16 01:00:00,2026-01-16,1,7.1
2026-01-16 02:00:00,2026-01-16,2,8.0
2026-01-16 03:00:00,2026-01-16,3,8.5
2026-01-16 04:00:00,2026-01-16,4,9.1
2026-01-16 05:00:00,2026-01-16,5,9.9
2026-01-16 06:00:00,2026-01-16,6,11.3
2026-01-16 07:00:00,2026-01-16,7,13.0
2026-01-16 08:00:00,2026-01-16,8,14.6
2026-01-16 09:00:00,2026-01-16,9,15.8
2026-01-16 10:00:00,2026-01-16,10,16.4
2026-01-16 11:00:00,2026-01-16,11,16.3
2026-01-16 12:00:00,2026-01-16,12,15.5
2026-01-16 13:00:00,2026-01-16,13,13.7
2026-01-16 14:00:00,2026-01-16,14,12.3
2026-01-16 15:00:00,2026-01-16,15,10.9
2026-01-16 16:00:00,2026-01-16,16,8.9
2026-01-16 17:00:00,2026-01-16,17,6.4
2026-01-16 18:00:00,2026-01-16,18,5.6
2026-01-16 19:00:00,2026-01-16,19,5.6
2026-01-16 20:00:00,2026-01-16,20,6.3
2026-01-16 21:00:00,2026-01-16,21,7.0
2026-01-16 22:00:00,2026-01-16,22,7.4
2026-01-16 23:00:00,2026-01-16,23,7.4
2026-01-17 00:00:00,2026-01-17,0,7.1
2026-01-17 01:00:00,2026-01-17,1,6.9
2026-01-17 02:00:00,2026-01-17,2,6.5
2026-01-17 03:00:00,2026-01-17,3,6.5
2026-01-17 04:00:00,2026-01-17,4,8.1
2026-01-17 05:00:00,2026-01-17,5,10.5
2026-01-17 06:00:00,2026-01-17,6,13.3
2026-01-17 07:00:00,2026-01-17,7,15.2
2026-01-17 08:00:00,2026-01-17,8,16.9
2026-01-17 09:00:00,2026-01-17,9,17.8
2026-01-17 10:00:00,2026-01-17,10,17.9
2026-01-17 11:00:00,2026-01-17,11,17.7
2026-01-17 12:00:00,2026-01-17,12,16.6
2026-01-17 13:00:00,2026-01-17,13,14.9
2026-01-17 14:00:00,2026-01-17,14,13.5
2026-01-17 15:00:00,2026-01-17,15,12.4
2026-01-17 16:00:00,2026-01-17,16,10.8
2026-01-17 17:00:00,2026-01-17,17,8.9
2026-01-17 18:00:00,2026-01-17,18,7.7
2026-01-17 19:00:00,2026-01-17,19,7.6
2026-01-17 20:00:00,2026-01-17,20,8.0
2026-01-17 21:00:00,2026-01-17,21,8.1
2026-01-17 22:00:00,2026-01-17,22,7.8
2026-01-17 23:00:00,2026-01-17,23,7.1
2026-01-18 00:00:00,2026-01-18,0,5.7
2026-01-18 01:00:00,2026-01-18,1,4.8
2026-01-18 02:00:00,2026-01-18,2,4.3
2026-01-18 03:00:00,2026-01-18,3,3.6
2026-01-18 04:00:00,2026-01-18,4,6.2
2026-01-18 05:00:00,2026-01-18,5,10.1
2026-01-18 06:00:00,2026-01-18,6,13.3
2026-01-18 07:00:00,2026-01-18,7,15.5
2026-01-18 08:00:00,2026-01-18,8,17.0
2026-01-18 09:00:00,2026-01-18,9,17.7
2026-01-18 10:00:00,2026-01-18,10,17.9
2026-01-18 11:00:00,2026-01-18,11,17.5
2026-01-18 12:00:00,2026-01-18,12,16.3
2026-01-18 13:00:00,2026-01-18,13,13.8
2026-01-18 14:00:00,2026-01-18,14,12.9
2026-01-18 15:00:00,2026-01-18,15,12.0
2026-01-18 16:00:00,2026-01-18,16,10.6
2026-01-18 17:00:00,2026-01-18,17,8.7
2026-01-18 18:00:00,2026-01-18,18,7.7
2026-01-18 19:00:00,2026-01-18,19,7.5
2026-01-18 20:00:00,2026-01-18,20,7.4
2026-01-18 21:00:00,2026-01-18,21,7.4
2026-01-18 22:00:00,2026-01-18,22,7.3
2026-01-18 23:00:00,2026-01-18,23,7.0
2026-01-19 00:00:00,2026-01-19,0,6.5
2026-01-19 01:00:00,2026-01-19,1,6.2
2026-01-19 02:00:00,2026-01-19,2,5.8
2026-01-19 03:00:00,2026-01-19,3,5.8
2026-01-19 04:00:00,2026-01-19,4,7.9
2026-01-19 05:00:00,2026-01-19,5,12.8
2026-01-19 06:00:00,2026-01-19,6,16.5
2026-01-19 07:00:00,2026-01-19,7,17.8
2026-01-19 08:00:00,2026-01-19,8,18.6
2026-01-19 09:00:00,2026-01-19,9,18.8
2026-01-19 10:00:00,2026-01-19,10,18.7
2026-01-19 11:00:00,2026-01-19,11,18.0
2026-01-19 12:00:00,2026-01-19,12,16.6
2026-01-19 13:00:00,2026-01-19,13,13.6
2026-01-19 14:00:00,2026-01-19,14,12.3
2026-01-19 15:00:00,2026-01-19,15,11.9
2026-01-19 16:00:00,2026-01-19,16,10.7
2026-01-19 17:00:00,2026-01-19,17,8.5
2026-01-19 18:00:00,2026-01-19,18,7.7
2026-01-19 19:00:00,2026-01-19,19,6.8
